num,weather_condition,best_fitness,before_price,before_optimal
1,fall,20546505.348744094,21933193.524395294,20668315.13470629
1,spring,20545912.863959216,21933193.524395294,20668315.13470629
1,summer,26469309.881542824,28671798.359943528,26791591.573091898
1,winter,25839034.4527294,27805058.45906823,26174530.638615727
2,fall,2149590.06714704,3446228.5447341176,2181350.155045111
2,spring,2215452.490106339,3446228.5447341176,2181350.155045111
2,summer,2883797.0160520924,4636173.048395295,2755966.261543665
2,winter,2788857.728524961,4421121.538828235,2790593.7183757303
5,fall,5597947.848272486,6938659.161148235,5673780.771459229
5,spring,5636397.6355863875,6938659.161148235,5673780.771459229
5,summer,7006809.234728446,9030994.56101647,7150787.774164842
5,winter,6981338.257845653,8793608.302418824,7163080.481966319
6,fall,2049656.2079744195,3299464.6564235296,2034586.266734523
6,spring,2003421.778883621,3299464.6564235296,2034586.266734523
6,summer,2816820.5007174783,4628030.373529412,2747823.5866777827
6,winter,2571469.3939472227,4288069.559223529,2657541.738771024
7,fall,2752420.4203747488,4057360.211337737,2792481.821648731
7,spring,2806125.7581028175,4057360.211337737,2792481.821648731
7,summer,3548688.846013813,5470412.672837496,3590205.885985866
7,winter,3403618.376382838,5195352.020243755,3564824.19979125
10,fall,2793501.0156827928,4131598.417294445,2866720.0276054386
10,spring,2819898.2441382795,4131598.417294445,2866720.0276054386
10,summer,3877361.302892531,5969138.072582658,4088931.2857310288
10,winter,3803372.8200364984,5489207.437645301,3858679.617192796
11,fall,5575070.358847639,6957927.0909741195,5693048.701285111
11,spring,5585230.794953662,6957927.0909741195,5693048.701285111
11,summer,7899653.667293402,10089109.139124706,8208902.352273077
11,winter,7327995.321100648,9189354.268800002,7558826.448347496
13,fall,1732580.9454111126,2896249.686141176,1631371.2964521698
13,spring,1866617.9982909963,2896249.686141176,1631371.2964521698
13,summer,2139767.2043393045,3906400.3407952944,2026193.553943665
13,winter,2498663.464111943,3716563.404705882,2086035.5842533775
15,fall,4370476.692410258,5637991.716914175,4373113.327225169
15,spring,4285206.130339746,5637991.716914175,4373113.327225169
15,summer,5376029.588255202,7363637.306811678,5483430.51996005
15,winter,5265560.399886749,7111729.146514786,5481201.326062282
17,fall,1649391.3840081752,2774103.2168823527,1509224.8271933466
17,spring,1645668.4295712882,2774103.2168823527,1509224.8271933466
17,summer,2214417.34943349,3813936.432458824,1933729.6456071946
17,winter,2156270.187750018,3594775.773388236,1964247.9529357299
18,fall,3492291.0049795457,4867167.413609048,3602289.0239200415
18,spring,3544045.343271027,4867167.413609048,3602289.0239200415
18,summer,4599743.074213272,6668290.354972325,4788083.568120696
18,winter,4496167.685958421,6339208.190102689,4708680.369650184
19,fall,1253663.681832843,2162375.0188517645,897496.6291627584
19,spring,1233863.4916644706,2162375.0188517645,897496.6291627584
19,summer,1503662.0490625198,2870579.4370941175,990372.6502424886
19,winter,1677113.9718266719,2784878.472430588,1154350.6519780832
20,fall,2568804.768507657,3837983.933008235,2573105.543319229
20,spring,2573093.1711647264,3837983.933008235,2573105.543319229
20,summer,3322660.4758489747,5109215.825580001,3229009.0387283713
20,winter,3123451.0940716146,4949543.2919188235,3319015.4714663187
22,fall,1864213.053378636,3173198.3825082355,1908319.9928192287
22,spring,2065709.6406340492,3173198.3825082355,1908319.9928192287
22,summer,2567196.3839466833,4247866.730244705,2367659.9433930772
22,winter,2375065.487055905,4051539.866795293,2421012.046342789
25,fall,2904084.1307992525,4064673.3411548147,2799794.951465808
25,spring,2758599.3149580085,4064673.3411548147,2799794.951465808
25,summer,3566806.2263532765,5511258.291861574,3631051.5050099446
25,winter,3494079.1281211823,5216124.194498397,3585596.3740458926
28,fall,4671975.306924552,6023873.660061177,4758995.27037217
28,spring,4685442.752335744,6023873.660061177,4758995.27037217
28,summer,6060316.8329419475,8125946.101821177,6245739.314969547
28,winter,5868050.489387879,7750824.038936472,6120296.218483966
29,fall,1313363.3669352634,2334167.110194385,1069288.7205053787
29,spring,1294289.7451198888,2334167.110194385,1069288.7205053787
29,summer,1756015.6017590214,3198637.3604908558,1318430.5736392266
29,winter,1855661.4938057296,3035643.6136021176,1405115.7931496128
31,fall,13977681.117116919,15365388.406023528,14100510.016334524
31,spring,13978492.685466673,15365388.406023528,14100510.016334524
31,summer,17955730.91572743,20150697.81888,18270491.03202837
31,winter,17533550.59990225,19496517.638569415,17865989.818116907
32,fall,4865266.593013826,6176238.041985882,4911359.652296877
32,spring,4821310.274792688,6176238.041985882,4911359.652296877
32,summer,5924828.289917735,8084077.423538825,6203870.636687195
32,winter,5929035.716692911,7831421.232225883,6200893.411773377
33,fall,5269994.075271783,6646215.40517647,5381337.015487464
33,spring,5285276.293426169,6646215.40517647,5381337.015487464
33,summer,6710373.987291511,8726178.030268235,6845971.2434166055
33,winter,6657072.627263436,8438304.993374117,6807777.172921613
35,fall,2328038.611302672,3637181.5528178327,2372303.163128827
35,spring,2334825.3350291,3637181.5528178327,2372303.163128827
35,summer,3048826.0926015144,5118715.396744322,3238508.6098926933
35,winter,3024913.5123204887,4713708.1473030355,3083180.3268505298
41,fall,2219746.462272236,3535010.326646053,2270131.9369570473
41,spring,2287264.0901225368,3535010.326646053,2270131.9369570473
41,summer,3019598.1914703916,4994510.605253583,3114303.818401954
41,winter,2918273.903341371,4664145.708387786,3033617.8879352803
46,fall,3689310.7946274094,5019763.884362685,3754885.4946736777
46,spring,3644654.2850710666,5019763.884362685,3754885.4946736777
46,summer,4803526.426454229,6912733.75628739,5032526.969435762
46,winter,4708495.373598177,6518717.416931912,4888189.5964794075
48,fall,2097195.8046099725,3210185.5039557293,1945307.1142667234
48,spring,1934033.1616301008,3210185.5039557293,1945307.1142667234
48,summer,2956227.635376425,4530445.274709717,2650238.4878580887
48,winter,2623037.3598778616,4197417.898643405,2566890.0781909004
49,fall,1832871.6531438124,3048118.182956213,1783239.793267206
49,spring,1829564.2785327272,3048118.182956213,1783239.793267206
49,summer,2308643.147930403,4038466.691961056,2158259.9051094265
49,winter,2578509.557803453,3918505.483180658,2287977.6627281527
50,fall,1657454.576072405,2779867.9589948943,1514989.569305888
50,spring,1716303.4581403844,2779867.9589948943,1514989.569305888
50,summer,2311198.3306544074,3685551.5972762117,1805344.8104245823
50,winter,2054390.1960775058,3579817.0248173615,1949289.2043648562
53,fall,2486064.5748346853,3777765.5592847057,2512887.1695956993
53,spring,2525805.2020873087,3777765.5592847057,2512887.1695956993
53,summer,3238038.2936825734,5086171.763237647,3205964.976386018
53,winter,3180290.6200189022,4832741.182447059,3202213.361994554
54,fall,16475746.754855743,17862833.581157647,16597955.191468641
54,spring,16474716.284030596,17862833.581157647,16597955.191468641
54,summer,21528055.149221692,23717186.845665883,21836980.05881425
54,winter,20893669.221568238,22769715.509449407,21139187.688996904
57,fall,5492483.466346277,6787018.2243049415,5522139.834615935
57,spring,5409625.017366046,6787018.2243049415,5522139.834615935
57,summer,6899217.358651179,9039293.867486117,7159087.080634488
57,winter,6832559.773665367,8670666.429283764,7040138.608831259
58,fall,1303226.8449064381,2440169.9706466766,1175291.58095767
58,spring,1503522.2706936288,2440169.9706466766,1175291.58095767
58,summer,1789666.2636907478,3302386.794095181,1422180.0072435518
58,winter,1867830.3743930247,3144016.5529959695,1513488.7325434645
59,fall,1800199.3876602754,2824407.39697347,1559529.0072844638
59,spring,1799714.8719293897,2824407.39697347,1559529.0072844638
59,summer,2165714.457575391,3782760.689998544,1902553.9031469147
59,winter,2172528.1148807947,3622758.1749082142,1992230.35445571
