num,weather_condition,best_position,best_fitness,before_price,before_optimal,optimal,optiaml_per
1,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8607.193411764705, 1320.3007111570373, 0, 0, 0, 146.27175425624716, 0, 0]",20544464.38267962,21933193.524395294,20668315.13470629,123850.75202666968,0.5992300350535065
1,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1446.328921277042, 0, 0, 0, 8580.187905882352, 0, 0, 0, 47.249050584991046, 0]",20544482.49501814,21933193.524395294,20668315.13470629,123832.6396881491,0.5991424016958644
1,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8607.193411764705, 0, 1419.3233724910465, 0, 47.24909630686254, 0, 0, 0]",26461463.770202655,28671798.359943528,26791591.573091898,330127.80288924277,1.2322067615453134
1,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8580.187905882352, 1493.5779749703515, 0, 0, 0, 0]",25836644.605949614,27805058.45906823,26174530.638615727,337886.0326661132,1.2908962431120896
2,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1615.8413647058824, 0, 0, 1612.163011764706, 1598.6388705882352, 1578.684282352941, 1520.9589176470588, 1344.2302588235293, 0, 0, 803.2491749700787, 0, 0]",2080708.6028480635,3446228.5447341176,2181350.155045111,100641.55219704774,4.613727510197299
2,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1634.4618352941175, 0, 1598.6388705882352, 1578.684282352941, 1520.9589176470588, 1344.2302588235293, 0, 261.2467279115573, 1087.2792, 1048.2657882352942, 0]",2126197.3144330783,3446228.5447341176,2181350.155045111,55152.84061203292,2.5283808967796064
2,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1634.4618352941175, 1612.163011764706, 1598.6388705882352, 0, 0, 1344.2302588235293, 639.0612220292003, 1128.0650823529413, 1087.2792, 0, 1029.8664]",2484219.545603138,4636173.048395295,2755966.261543665,271746.71594052715,9.860306337288652
2,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1615.8413647058824, 0, 0, 1612.163011764706, 1598.6388705882352, 0, 1520.9589176470588, 1344.2302588235293, 1197.6869647058825, 1128.0650823529413, 0, 56.181410264431655, 0]",2705714.471976321,4421121.538828235,2790593.7183757303,84879.24639940914,3.041619632427656
5,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2431.8046574262216, 0, 2665.5619764705884, 2587.0599529411766, 0, 2342.0905411764707, 0, 47.24873233747082, 0, 0, 0]",5549930.008502429,6938659.161148235,5673780.771459229,123850.76295679994,2.182861269152403
5,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2665.5619764705884, 2587.0599529411766, 2431.8046393114555, 2342.0905411764707, 47.24875891673721, 0, 0, 0, 0]",5549930.008150311,6938659.161148235,5673780.771459229,123850.7633089181,2.1828612753584618
5,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2894.049317647059, 0, 0, 0, 0, 2587.0599529411766, 2536.200847058824, 0, 2056.45576320515, 0, 0, 0, 0]",6820660.010982621,9030994.56101647,7150787.774164842,330127.763182221,4.616662857411922
5,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2645.9136000000003, 0, 0, 2536.200847058824, 2342.0905411764707, 2549.5608926171953, 0, 0, 0, 0]",6825194.449300457,8793608.302418824,7163080.481966319,337886.03266586177,4.717049229259945
6,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 0, 0, 1971.7496470588235, 0, 1235.8177632056702, 1743.294705882353, 1296.2477647058822, 1036.2981176470587, 890.5362352941177, 0, 0, 0]",1932970.0509834995,3299464.6564235296,2034586.266734523,101616.2157510235,4.994441248938332
6,spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 0, 1959.3931764705883, 0, 1990.154117647059, 294.3182337938389, 1743.294705882353, 1296.2477647058822, 0, 890.5362352941177, 0, 0, 0]",1936624.4272893912,3299464.6564235296,2034586.266734523,97961.83944513183,4.8148285008508855
6,summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1959.3931764705883, 0, 0, 0, 1743.294705882353, 1296.2477647058822, 0, 0, 771.5011764705883, 694.522588235294, 650.9350588235294]",2455634.480288956,4628030.373529412,2747823.5866777827,292189.10638882685,10.63347399030423
6,winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 1854.4108235294116, 0, 490.0999984995551, 1990.154117647059, 1912.4449411764706, 0, 0, 1036.2981176470587, 890.5362352941177, 0, 0, 0]",2441904.9131127964,4288069.559223529,2657541.738771024,215636.82565822778,8.11414633728194
7,fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2000.5851523647057, 1983.4471112235294, 1428.550413970349, 1900.0138831764707, 0, 1498.4946260000002, 1262.674694117647, 0, 0, 0, 0]",2679263.928237416,4057360.2113377373,2792481.821648731,113217.89341131505,4.054382468440536
