Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice
spring,1000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1636.6441050714218, 0, 0, 0, 0, 0, 0]",21452737.313538495,21470780.200590596,21678594.200038355
spring,1000,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1322.5555726027396, 314.0885324686878, 0, 0, 0, 0, 0, 0]",3293108.381094663,3311151.268146759,3518965.26759452
spring,1000,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1636.6441050714245, 0, 0, 0, 0, 0, 0]",6694081.467385075,6712124.35443717,6919938.353884933
spring,1000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 566.9140201609096, 0, 0, 0, 0, 0, 1069.7300849105163, 0, 0, 0, 0, 0, 0]",3294135.5545960334,3312178.441648129,3519992.4410958905
spring,1000,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1564.2187397260275, 0, 72.4253653453979, 0, 0, 0, 0]",4042461.2490605507,4058280.677396543,4266094.676844304
spring,1000,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.255056282410082e-05, 420.2322023560618, 1216.411830164801, 0, 0, 0, 0, 0, 0]",3818682.2987179286,3836725.185770024,4044539.185217785
spring,1000,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1483.7995042001805, 0, 0, 152.84460087124734, 0, 0, 0, 0, 0]",6531747.586111273,6545098.143916623,6752912.143364384
spring,1000,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1181.5330191780822, 189.90153098239543, 0, 265.2095549109484, 0, 0, 0, 0, 0, 0]",2724234.162483705,2742277.0495358007,2950091.048983562
spring,1000,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1636.6441050714268, 0, 0, 0, 0, 0, 0]",5463625.140046858,5481668.027098955,5689482.026546716
spring,1000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 226.85703844675893, 1256.9424657534246, 0, 0, 0, 0, 152.84460087124094, 0, 0, 0]",2723874.7176099042,2737225.2754152524,2945039.274863014
spring,1000,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.129674220160533, 0, 0, 0, 0, 1592.1327997600417, 0, 0, 0, 33.381631091225884, 0, 0, 0]",4925202.278445013,4942220.3494226085,5150034.34887037
spring,1000,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 235.40032424950877, 0, 0, 0, 0, 0, 673.4229041095891, 727.8208767123288, 0, 0, 0, 0, 0, 0]",1900252.7153367952,1911068.812434431,2118882.8118821923
spring,1000,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 344.92031329060586, 1291.723791780822, 0, 0, 0, 0, 0, 0]",3522973.3521439787,3541016.2391960747,3748830.2386438358
spring,1000,22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 517.7877763043045, 0, 0, 0, 1118.8563287671234, 0, 0, 0, 0, 0, 0]",2989791.2104754844,3007834.097527581,3215648.0969753414
spring,1000,25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1027.004591564337, 0, 609.6395135070911, 0, 0, 0, 0, 0, 0]",3966454.364941239,3984497.251993335,4192311.2514410964
spring,1000,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1060.2309603434144, 0, 0, 0, 0, 576.4131447280123, 0, 0, 0, 0, 0]",5695870.602478908,5696217.605987855,5904031.605435617
