Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice
spring,1000,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104.94546736583712, 0, 132.92096716450652, 7.256726598372367, 0, 1332.5489930064095, 58.9719509363026, 0, 0, 0, 0, 0, 0]",3275745.502955444,3293788.3900075406,3501602.3894553017
spring,3000,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1715.778019178082, 0, 929.2935976532447, 0, 1766.460676712329, 121.88199682472123, 376.51802484590866, 0, 0, 0, 0, 0, 0]",2824031.72995573,2878160.3911120184,3501602.3894553017
spring,5000,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1607.9846661313827, 0, 1691.1316602739726, 1788.9660000000001, 1766.460676712329, 749.269275545675, 579.4082466937829, 0, 0, 0, 0, 0, 0]",2372317.956956016,2462532.392216496,3501602.3894553017
spring,7000,48,"[0, 0, 0, 0, 0, 0, 0, 0, 10.410309787869043, 0, 0, 1715.778019178082, 1199.662841928927, 1691.1316602739726, 1788.9660000000001, 1766.460676712329, 1734.623802739726, 1542.8205369863017, 0, 4.31971850718751, 0, 2.3351693856063878, 0, 0]",1957957.7347723157,2046904.3933209737,3501602.3894553017
spring,9000,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1206.190149349306, 1719.1622092657535, 1715.778019178082, 1558.0823589041097, 1691.1316602739726, 1788.9660000000001, 1766.460676712329, 1734.623802739726, 1542.8205369863017, 5.242633807409413, 1.338898425866095, 0, 0, 0, 0]",1606733.9098239874,1631276.3944254515,3501602.3894553017
spring,1000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25.718879170182934, 0, 70.25802504394969, 1055.1528579187016, 47.91446367861701, 113.6915958637676, 323.9082833962092, 0, 0, 0, 0, 0, 0]",3294135.5545960325,3312178.441648129,3519992.4410958905
spring,3000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1724.5795068493153, 1733.7698630136988, 0, 1300.3122329493356, 151.27071240193564, 0, 0, 0, 0, 0, 0]",2842421.7815963184,2896550.4427526067,3519992.4410958905
spring,5000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1675.6037260273974, 0, 1724.5795068493153, 1733.7698630136988, 23.08772979844841, 1679.2786849315069, 1346.9010147367749, 0, 0, 0, 0, 0, 0]",2390708.008596604,2480922.4438570845,3519992.4410958905
spring,7000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 32.263303622473046, 0, 1675.6037260273974, 1335.836920322866, 1724.5795068493153, 1733.7698630136988, 1749.5585753424657, 1679.2786849315069, 1525.2233424657536, 0.24236164708865465, 0, 0, 0.15245127743663814, 0, 0]",1981007.0332287946,2065294.4449615623,3519992.4410958905
spring,9000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1319.1498621450603, 1658.1521095890412, 1675.6037260273974, 1630.1727123287674, 1724.5795068493153, 1733.7698630136988, 1749.5585753424657, 1679.2786849315069, 1525.2233424657536, 5.970210806293742, 28.338352143555987, 0, 0, 0, 0]",1629783.2082804665,1649666.44606604,3519992.4410958905
spring,1000,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 344.1987352321663, 0, 666.3227418483359, 524.5107535131084, 101.61187447781738, 0, 0, 0, 0, 0, 0]",3252764.7327381214,3270807.619790218,3478621.619237979
spring,3000,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1079.578366971574, 0, 1561.0000438356165, 0, 1550.5592547945207, 551.4145278012596, 167.380121811315, 0, 0, 0, 0, 0, 0]",2801050.9597384073,2855179.6208946956,3478621.619237979
spring,5000,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1516.1433401815073, 0, 1561.0000438356165, 1568.0481534246576, 1550.5592547945207, 1526.694927013593, 460.7748061072464, 0, 0, 0, 0, 0, 0]",2349337.1867386936,2439551.621999174,3478621.619237979
spring,7000,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 598.6299133879567, 1528.3923287671232, 1560.9041753424658, 1561.0000438356165, 1568.0481534246576, 1550.5592547945207, 1549.1336547945207, 1538.5952219178084, 0.12558986642115158, 0, 1.1203993689114191, 0, 0, 0]",1963959.3621325274,2023923.6231036517,3478621.619237979
spring,9000,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1126.02338630137, 1523.8510027397263, 1528.3923287671232, 1560.9041753424658, 1561.0000438356165, 1568.0481534246576, 1550.5592547945207, 1549.1336547945207, 1538.5952219178084, 252.04619695807466, 0, 0, 971.2435267669721, 0, 0]",1612735.5371841993,1608295.624208129,3478621.619237979
spring,1000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1139.2551279829945, 0, 383.72604347263814, 113.66293361579464, 0, 0, 0, 0, 0, 0]",2719182.3883631565,2737225.2754152524,2945039.274863014
