weather_condition,best_position,best_fitness,before_price,before_optimal,num
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1330.3030444076137, 0, 0, 0, 8597.19134117647, 0, 146.27091897533697, 0, 0, 0, 0]",20547504.429578636,21933193.524395294,20668315.13470629,1
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1330.295404611793, 0, 0, 0, 0, 0, 8597.19134117647, 0, 0, 146.27908586934518, 0, 0, 0]",20547504.60756273,21933193.524395294,20668315.13470629,1
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2209.7454126572343, 0, 0, 0, 0, 7816.358530952229, 0, 47.611231677955175, 0, 0, 0]",20544482.49501814,21933193.524395294,20668315.13470629,1
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1446.328921277042, 0, 0, 0, 8580.187905882352, 0, 0, 0, 47.249050584991046, 0]",20545527.482757688,21933193.524395294,20668315.13470629,1
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 759.0269692514946, 0, 65.48289863915633, 0, 0, 0, 8597.19134117647, 603.5076032862464, 48.177105420591616, 0, 0, 0, 0]",20544545.304878898,21933193.524395294,20668315.13470629,1
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8606.705505882353, 1041.140943104842, 0, 0, 0, 0, 425.91934398848065, 0, 0]",26492552.616788927,28671798.359943528,26791591.573091898,1
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8607.193411764705, 0, 1419.3233724910465, 0, 47.24909630686254, 0, 0, 0]",26461463.770202655,28671798.359943528,26791591.573091898,1
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1446.3289824196888, 0, 0, 0, 0, 0, 0, 8580.187905882352, 0, 0, 47.24885209391031, 0, 0]",26461463.78096141,28671798.359943528,26791591.573091898,1
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.736791894908034, 0, 1436.494667497273, 8580.187905882352, 47.31740818041641, 0, 0, 0, 0]",26461475.776349746,28671798.359943528,26791591.573091898,1
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1330.3036556500342, 0, 0, 0, 0, 0, 8597.19134117647, 0, 146.27085134118124, 0, 0, 0, 0]",26469593.463411383,28671798.359943528,26791591.573091898,1
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1153.5157110336909, 176.2642207523699, 0, 0, 8597.19134117647, 0, 0, 146.74290020654433, 0, 0, 0]",20547525.9755343,21933193.524395294,20668315.13470629,1
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1330.2975729779391, 0, 0, 0, 8597.19134117647, 0, 0, 0, 146.27694088232428, 0, 0]",20547504.538485307,21933193.524395294,20668315.13470629,1
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8607.193411764705, 1320.3007111570373, 0, 0, 0, 146.27175425624716, 0, 0]",20547504.3762004,21933193.524395294,20668315.13470629,1
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1446.3292131243015, 0, 0, 0, 8580.187905882352, 0, 0, 0, 0, 47.248716409433605]",20545527.47082085,21933193.524395294,20668315.13470629,1
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8606.705505882353, 0, 0, 1419.8114128147163, 0, 0, 47.248899678279344, 0, 0]",20544464.38267962,21933193.524395294,20668315.13470629,1
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8597.19134117647, 0, 1476.5745396760815, 0, 0, 0, 0]",25836644.605949648,27805058.45906823,26174530.638615727,1
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8580.187905882352, 1493.5779749703515, 0, 0, 0, 0]",25836644.605949618,27805058.45906823,26174530.638615727,1
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1446.3291198584395, 0, 0, 0, 0, 0, 0, 0, 8580.187905882352, 0, 47.24867601045341, 0, 0, 0]",25839361.439816643,27805058.45906823,26174530.638615727,1
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8580.187905882352, 1493.5779749703743, 0, 0, 0, 0]",25836644.605949614,27805058.45906823,26174530.638615727,1
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1446.3292542340773, 8580.187905882352, 0, 0, 0, 0, 0]",25845877.005981486,27805058.45906823,26174530.638615727,1
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1456.8982102642956, 1615.8413647058824, 1629.9487058823531, 1634.4618352941175, 0, 0, 1578.684282352941, 0, 0, 0, 1128.0650823529413, 0, 0, 1029.8664]",2240235.544010406,3446228.5447341176,2181350.155045111,2
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 844.7543387607595, 1610.7717176470587, 0, 0, 0, 1612.163011764706, 0, 1578.684282352941, 0, 1344.2302588235293, 1197.6869647058825, 0, 0, 0, 0]",2428398.085262735,3446228.5447341176,2181350.155045111,2
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1634.4618352941175, 0, 1598.6388705882352, 1578.684282352941, 1520.9589176470588, 1344.2302588235293, 0, 261.2467279115573, 1087.2792, 1048.2657882352942, 0]",2153216.3390974426,3446228.5447341176,2181350.155045111,2
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1255.2024926174204, 1634.4618352941175, 1612.163011764706, 0, 1578.684282352941, 1520.9589176470588, 1344.2302588235293, 0, 1128.0650823529413, 0, 0, 0]",2129215.1677280334,3446228.5447341176,2181350.155045111,2
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1615.8413647058824, 0, 1634.4618352941175, 74.66846908681556, 1598.6388705882352, 0, 1520.9589176470588, 1344.2302588235293, 1197.6869647058825, 0, 1087.2792, 0, 0]",2126197.3144330783,3446228.5447341176,2181350.155045111,2
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 555.2215829145617, 0, 0, 1615.8413647058824, 1629.9487058823531, 0, 0, 0, 1578.684282352941, 1520.9589176470588, 0, 0, 1128.0650823529413, 0, 0, 1029.8664]",3056144.359745606,4636173.048395295,2755966.261543665,2
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 455.42945732328684, 1610.7717176470587, 1615.8413647058824, 0, 1634.4618352941175, 0, 0, 0, 0, 1344.2302588235293, 1197.6869647058825, 1128.0650823529413, 1087.2792, 0, 0]",2871804.2896324657,4636173.048395295,2755966.261543665,2
