"시점","항목","시간대별",데이터
"2017","1월","1시",964
"2017","1월","2시",851
"2017","1월","3시",790
"2017","1월","4시",765
"2017","1월","5시",761
"2017","1월","6시",780
"2017","1월","7시",857
"2017","1월","8시",970
"2017","1월","9시",1037
"2017","1월","10시",1036
"2017","1월","11시",1013
"2017","1월","12시",986
"2017","1월","13시",969
"2017","1월","14시",942
"2017","1월","15시",920
"2017","1월","16시",921
"2017","1월","17시",958
"2017","1월","18시",1087
"2017","1월","19시",1243
"2017","1월","20시",1278
"2017","1월","21시",1284
"2017","1월","22시",1273
"2017","1월","23시",1212
"2017","1월","24시",1104
"2017","2월","1시",968
"2017","2월","2시",855
"2017","2월","3시",795
"2017","2월","4시",770
"2017","2월","5시",767
"2017","2월","6시",788
"2017","2월","7시",873
"2017","2월","8시",1007
"2017","2월","9시",1054
"2017","2월","10시",1031
"2017","2월","11시",999
"2017","2월","12시",970
"2017","2월","13시",951
"2017","2월","14시",927
"2017","2월","15시",908
"2017","2월","16시",910
"2017","2월","17시",942
"2017","2월","18시",1047
"2017","2월","19시",1220
"2017","2월","20시",1290
"2017","2월","21시",1298
"2017","2월","22시",1288
"2017","2월","23시",1226
"2017","2월","24시",1114
"2017","3월","1시",975
"2017","3월","2시",858
"2017","3월","3시",799
"2017","3월","4시",775
"2017","3월","5시",775
"2017","3월","6시",800
"2017","3월","7시",911
"2017","3월","8시",1077
"2017","3월","9시",1072
"2017","3월","10시",1012
"2017","3월","11시",964
"2017","3월","12시",931
"2017","3월","13시",913
"2017","3월","14시",890
"2017","3월","15시",876
"2017","3월","16시",883
"2017","3월","17시",923
"2017","3월","18시",1027
"2017","3월","19시",1195
"2017","3월","20시",1311
"2017","3월","21시",1330
"2017","3월","22시",1320
"2017","3월","23시",1252
"2017","3월","24시",1130
"2017","4월","1시",985
"2017","4월","2시",863
"2017","4월","3시",800
"2017","4월","4시",772
"2017","4월","5시",771
"2017","4월","6시",794
"2017","4월","7시",912
"2017","4월","8시",1066
"2017","4월","9시",1070
"2017","4월","10시",1012
"2017","4월","11시",964
"2017","4월","12시",932
"2017","4월","13시",920
"2017","4월","14시",902
"2017","4월","15시",889
"2017","4월","16시",897
"2017","4월","17시",929
"2017","4월","18시",1016
"2017","4월","19시",1152
"2017","4월","20시",1292
"2017","4월","21시",1333
"2017","4월","22시",1329
"2017","4월","23시",1263
"2017","4월","24시",1137
"2017","5월","1시",973
"2017","5월","2시",849
"2017","5월","3시",782
"2017","5월","4시",751
"2017","5월","5시",745
"2017","5월","6시",771
"2017","5월","7시",886
"2017","5월","8시",1032
"2017","5월","9시",1054
"2017","5월","10시",1014
"2017","5월","11시",979
"2017","5월","12시",956
"2017","5월","13시",948
"2017","5월","14시",932
"2017","5월","15시",923
"2017","5월","16시",930
"2017","5월","17시",963
"2017","5월","18시",1036
"2017","5월","19시",1144
"2017","5월","20시",1264
"2017","5월","21시",1336
"2017","5월","22시",1334
"2017","5월","23시",1263
"2017","5월","24시",1131
"2017","6월","1시",963
"2017","6월","2시",838
"2017","6월","3시",769
"2017","6월","4시",735
"2017","6월","5시",726
"2017","6월","6시",752
"2017","6월","7시",866
"2017","6월","8시",1019
"2017","6월","9시",1043
"2017","6월","10시",1005
"2017","6월","11시",977
"2017","6월","12시",962
"2017","6월","13시",962
"2017","6월","14시",952
"2017","6월","15시",948
"2017","6월","16시",960
"2017","6월","17시",993
"2017","6월","18시",1065
"2017","6월","19시",1160
"2017","6월","20시",1254
"2017","6월","21시",1331
"2017","6월","22시",1330
"2017","6월","23시",1260
"2017","6월","24시",1127
"2017","7월","1시",965
"2017","7월","2시",827
"2017","7월","3시",746
"2017","7월","4시",702
"2017","7월","5시",682
"2017","7월","6시",687
"2017","7월","7시",773
"2017","7월","8시",907
"2017","7월","9시",961
"2017","7월","10시",963
"2017","7월","11시",965
"2017","7월","12시",969
"2017","7월","13시",988
"2017","7월","14시",994
"2017","7월","15시",996
"2017","7월","16시",1010
"2017","7월","17시",1049
"2017","7월","18시",1117
"2017","7월","19시",1216
