"시점","월별","시간별",농업,임업,어업,석탄/ 원유 및 천연가스 광업,금속 광업,비금속광물 광업;연료용 제외,광업 지원 서비스업,식료품 제조업,음료 제조업,담배 제조업,섬유제품 제조업; 의복제외,의복/ 의복액세서리 및 모피제품 제조업,가죽/ 가방 및 신발 제조업,목재 및 나무제품 제조업;가구제외,펄프/ 종이 및 종이제품 제조업,인쇄 및 기록매체 복제업,코크스/ 연탄 및 석유정제품 제조업,화학물질 및 화학제품 제조업;의약품 제외,의료용 물질 및 의약품 제조업,고무제품 및 플라스틱제품 제조업,비금속 광물제품 제조업,1차 금속 제조업,금속가공제품 제조업;기계 및 가구 제외,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,의료/ 정밀/ 광학기기 및 시계 제조업,전기장비 제조업,기타 기계 및 장비 제조업,자동차 및 트레일러 제조업,기타 운송장비 제조업,가구 제조업,기타 제품 제조업,산업용 기계 및 장비 수리업,전기/ 가스/ 증기 및 공기조절 공급업,수도사업,하수/ 폐수 및 분뇨 처리업,폐기물 수집운반/ 처리 및 원료재생업,환경 정화 및 복원업,종합 건설업,전문직별 공사업,자동차 및 부품 판매업,도매 및 상품중개업,소매업; 자동차 제외,육상운송 및 파이프라인 운송업,수상 운송업,항공 운송업,창고 및 운송관련 서비스업,숙박업,음식점 및 주점업,출판업,영상/ 오디오 기록물 제작 및 배급업,방송업,통신업,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,정보서비스업,금융업,보험 및 연금업,금융 및 보험 관련 서비스업,부동산업,연구개발업,전문서비스업,건축기술/ 엔지니어링 및 기타 과학기술 서비스업,기타 전문/ 과학 및 기술 서비스업,사업시설 관리 및 조경 서비스업,사업지원 서비스업,임대업;부동산 제외,공공행정/ 국방 및 사회보장 행정,교육 서비스업,보건업,사회복지 서비스업,창작/ 예술 및 여가관련 서비스업,스포츠 및 오락관련 서비스업,협회 및 단체,개인 및 소비용품 수리업,기타 개인 서비스업,가구내 고용활동,국제 및 외국기관
"2016","1월","1시",1096,1033,1001,642,753,482,753,829,840,784,918,652,596,786,969,646,998,964,830,832,949,1121,714,964,1063,827,690,822,707,537,670,-,1004,1002,986,762,1023,765,780,469,613,539,603,706,636,781,1045,722,936,779,838,911,862,981,567,636,632,637,800,696,745,769,760,667,607,746,803,784,1230,569,731,838,413,668,444,881
"2016","2월","1시",1123,1038,1005,654,748,456,775,828,843,809,916,644,588,789,973,638,998,959,828,827,946,1117,716,967,1064,826,691,822,710,531,669,-,1007,1001,987,761,1042,784,1022,444,624,547,585,723,641,785,1040,733,933,776,841,916,864,981,572,633,627,643,808,695,747,763,760,679,613,756,784,787,1249,587,707,864,413,676,453,889
"2016","3월","1시",1135,1128,1007,640,744,413,751,826,852,806,920,652,586,790,976,636,1000,959,825,844,929,1078,727,971,1035,843,706,829,712,524,679,-,1013,996,989,741,1084,787,1107,438,664,573,549,732,651,802,1053,763,934,800,855,928,876,981,587,652,653,667,824,695,773,766,802,692,617,783,755,800,1279,617,656,874,425,682,451,892
"2016","4월","1시",1065,1036,1007,604,752,388,728,840,869,802,931,674,608,804,981,657,1000,967,831,857,933,1092,742,976,1064,865,729,836,718,518,700,-,1005,999,991,740,1103,812,1039,573,710,596,518,772,687,824,1013,770,942,847,885,946,886,989,650,691,696,703,858,725,825,757,837,700,658,820,790,801,1247,671,672,879,456,676,523,877
"2016","5월","1시",921,882,994,606,749,400,745,829,855,741,931,657,595,804,980,640,1002,962,817,840,945,1096,725,972,1047,870,714,820,690,496,676,-,1009,997,991,733,1086,791,960,550,712,590,504,748,671,811,944,747,912,872,896,942,878,1000,637,679,664,684,868,786,811,734,824,684,660,802,711,753,1066,685,685,781,448,654,545,857
"2016","6월","1시",821,807,988,583,760,390,751,833,867,776,937,657,609,798,972,623,1000,967,812,848,939,1147,734,970,1024,922,726,842,678,487,669,-,1009,1008,992,730,1050,768,890,511,683,573,507,722,669,805,899,723,901,877,883,931,862,1014,593,634,612,651,844,749,788,707,780,672,624,757,627,729,822,634,662,668,405,625,513,847
"2016","7월","1시",817,713,990,634,781,411,770,846,870,822,942,649,606,803,979,623,1000,967,821,858,951,1139,739,971,994,903,729,847,696,491,671,-,1006,1006,991,755,1051,752,866,475,675,566,507,685,671,797,880,710,900,853,885,924,854,1031,582,623,591,643,832,736,759,719,764,668,613,730,609,737,687,593,620,608,391,616,493,857
"2016","8월","1시",818,772,990,628,737,399,703,823,850,796,930,617,584,790,965,605,998,963,819,838,939,1130,715,971,992,875,708,810,683,482,652,-,1000,1009,991,742,1063,723,841,434,664,562,502,655,660,782,881,701,888,860,872,915,847,1019,555,598,568,629,820,714,727,724,742,651,593,711,607,736,635,574,638,599,378,612,499,852
"2016","9월","1시",835,853,991,583,725,398,681,828,858,806,926,633,591,794,974,623,1001,963,816,841,950,1085,715,972,962,890,716,802,682,498,671,-,1003,1001,988,734,1084,750,892,501,701,583,520,688,701,812,897,737,904,858,895,943,883,1014,609,644,628,666,858,771,800,721,800,691,619,767,626,748,836,645,635,678,445,633,516,859
"2016","10월","1시",910,917,995,599,763,411,727,847,877,798,935,659,618,795,976,660,995,968,839,859,948,1056,734,977,999,910,738,824,705,513,689,-,999,1003,989,740,1084,791,896,547,728,601,542,737,736,827,957,763,936,872,902,957,902,995,655,689,692,702,869,775,813,750,832,722,669,804,755,789,1111,673,624,799,455,652,550,870
