"시점","항목",합계,재생에너지,재생에너지,재생에너지,재생에너지
"시점","항목",소계,태양광,풍력,수력,해양에너지
"2012","전력거래량 (MWh)",12288780,508044,908447,3853570,465924
"2012","전력거래량 비율 (%)",100.0,4.1,7.4,31.4,3.8
"2013","전력거래량 (MWh)",13996897,747800,1143549,4216147,483777
"2013","전력거래량 비율 (%)",100.0,5.3,8.2,30.1,3.5
"2014","전력거래량 (MWh)",16491168,1125144,1135210,2705957,492172
"2014","전력거래량 비율 (%)",100.0,6.8,6.9,16.4,3.0
"2015","전력거래량 (MWh)",17634487,1533113,1335915,2106966,496354
"2015","전력거래량 비율 (%)",100.0,8.7,7.6,11.9,2.8
"2016","전력거래량 (MWh)",19369412,1806868,1673879,2756905,495456
"2016","전력거래량 비율 (%)",100.0,9.3,8.6,14.2,2.6
"2017","전력거래량 (MWh)",22604370,2461679,2161585,2772598,489466
"2017","전력거래량 비율 (%)",100.0,10.9,9.6,12.3,2.2
"2018","전력거래량 (MWh)",25606886,3063970,2456371,3327181,485353
"2018","전력거래량 비율 (%)",100.0,12.0,9.6,13.0,1.9
"2019 p)","전력거래량 (MWh)",24592287,3849797,2672358,2739048,474327
"2019 p)","전력거래량 비율 (%)",100.0,15.7,10.9,11.1,1.9
"2020 p)","전력거래량 (MWh)",22400238,5079531,3134386,3810574,457257
"2020 p)","전력거래량 비율 (%)",100.0,22.7,14.0,17.0,2.0
"2021 p)","전력거래량 (MWh)",25792797,6390354,3166089,2995829,454968
"2021 p)","전력거래량 비율 (%)",100.0,24.8,12.3,11.6,1.8
