y_true,y_pred
2.5854297e-05,127.78805
2.5854297e-05,163.13986
2.5854297e-05,144.58517
2.5854297e-05,193.7482
2.5854297e-05,168.40335
2.5854297e-05,-25.728367
2.5854297e-05,-214.1304
2.5854297e-05,-187.2167
2.5854297e-05,-100.77647
2.5854297e-05,209.65048
49.199978,776.8445
299.6,1252.8406
553.6,1577.6812
402.80002,1649.5514
735.2,1607.1145
502.4,1494.8484
1004.0,1393.6058
440.0,924.6296
168.80002,336.73126
2.5854297e-05,-55.7598
2.5854297e-05,-239.49417
2.5854297e-05,-257.63974
2.5854297e-05,-188.59445
2.5854297e-05,-87.47306
2.5854297e-05,-100.36729
2.5854297e-05,-53.97214
2.5854297e-05,30.71365
2.5854297e-05,66.960594
2.5854297e-05,209.02536
2.5854297e-05,195.15646
2.5854297e-05,216.95065
2.5854297e-05,425.97327
2.5854297e-05,731.9206
2.5854297e-05,1037.5732
556.0,1430.438
1884.8,1863.0448
2858.8,2290.041
3320.4,2660.274
3487.2,2837.927
3252.4001,2825.768
2737.2,2541.9143
1839.2001,1898.8518
779.2,1167.8262
72.80001,470.61374
2.5854297e-05,73.790855
2.5854297e-05,-12.663732
2.5854297e-05,-15.888524
2.5854297e-05,106.25674
2.5854297e-05,-104.54148
2.5854297e-05,-209.77127
2.5854297e-05,-199.80576
2.5854297e-05,-212.7435
2.5854297e-05,-121.13621
2.5854297e-05,-94.04801
2.5854297e-05,23.624477
2.5854297e-05,185.02365
2.5854297e-05,439.3846
2.5854297e-05,940.92847
478.0,1499.1273
1843.6,2106.2307
2614.4001,2749.2874
3238.4001,3082.0088
3271.6,3207.8276
3267.2002,3076.7039
2702.4,2776.3923
2024.8,2043.136
954.39996,1157.6666
110.40005,464.9795
2.5854297e-05,35.978603
2.5854297e-05,-309.66934
2.5854297e-05,-412.986
2.5854297e-05,-319.38565
2.5854297e-05,-440.86197
2.5854297e-05,-463.00186
2.5854297e-05,-420.95316
2.5854297e-05,-543.7319
2.5854297e-05,-458.1691
2.5854297e-05,-184.60849
2.5854297e-05,13.110499
2.5854297e-05,119.208885
2.5854297e-05,296.91113
20.000027,892.01294
686.8,1480.1608
1731.2001,1829.8705
2448.0,2297.5479
3645.2002,2862.9072
3701.6,3139.9622
3474.4,3197.0935
2936.4001,3072.849
2354.4,2525.2705
