dataset,model,time,y_true,y_pred
physics,linear,2022-01-24 00:00:00,0.0,-112.36500178192932
physics,linear,2022-01-24 01:00:00,0.0,-130.7095683700834
physics,linear,2022-01-24 02:00:00,0.0,-153.5071549982074
physics,linear,2022-01-24 03:00:00,0.0,-199.87776486420375
physics,linear,2022-01-24 04:00:00,0.0,-240.4955728445334
physics,linear,2022-01-24 05:00:00,0.0,-244.5474637402042
physics,linear,2022-01-24 06:00:00,0.0,-277.39921453322745
physics,linear,2022-01-24 07:00:00,0.0,-214.2506163060275
physics,linear,2022-01-24 08:00:00,0.0,-209.24243874315698
physics,linear,2022-01-24 09:00:00,128.4,330.36761857926206
physics,linear,2022-01-24 10:00:00,700.4,1160.2715653814776
physics,linear,2022-01-24 11:00:00,1484.0,1902.0660325246436
physics,linear,2022-01-24 12:00:00,1418.8,2276.059439510226
physics,linear,2022-01-24 13:00:00,1285.6,2390.5822811115854
physics,linear,2022-01-24 14:00:00,1104.4,2219.518653429187
physics,linear,2022-01-24 15:00:00,1253.6,1736.5087378855187
physics,linear,2022-01-24 16:00:00,650.8,1142.340534342467
physics,linear,2022-01-24 17:00:00,303.6,672.7088702798479
physics,linear,2022-01-24 18:00:00,27.200000000000003,394.45446839487204
physics,linear,2022-01-24 19:00:00,0.0,344.34743043876756
physics,linear,2022-01-24 20:00:00,0.0,409.19166209746527
physics,linear,2022-01-24 21:00:00,0.0,378.28690503596124
physics,linear,2022-01-24 22:00:00,0.0,338.2893086588242
physics,linear,2022-01-24 23:00:00,0.0,260.434269426245
physics,linear,2022-01-25 00:00:00,0.0,425.91780569368416
physics,linear,2022-01-25 01:00:00,0.0,358.30261846881126
physics,linear,2022-01-25 02:00:00,0.0,248.610271641964
physics,linear,2022-01-25 03:00:00,0.0,141.77901835805073
physics,linear,2022-01-25 04:00:00,0.0,221.56814830741803
physics,linear,2022-01-25 05:00:00,0.0,96.45195930286923
physics,linear,2022-01-25 06:00:00,0.0,91.24858407710212
physics,linear,2022-01-25 07:00:00,0.0,162.99847688859745
physics,linear,2022-01-25 08:00:00,0.0,153.7783842046531
physics,linear,2022-01-25 09:00:00,49.2,698.7038323404893
physics,linear,2022-01-25 10:00:00,299.6,1364.7005865791025
physics,linear,2022-01-25 11:00:00,553.5999999999999,1843.2635366376023
physics,linear,2022-01-25 12:00:00,402.8,2189.0088699848425
physics,linear,2022-01-25 13:00:00,735.2,2126.4898678656027
physics,linear,2022-01-25 14:00:00,502.4,1964.9793516852385
physics,linear,2022-01-25 15:00:00,1004.0,1492.9648489539195
physics,linear,2022-01-25 16:00:00,440.00000000000006,848.8647602362661
physics,linear,2022-01-25 17:00:00,168.79999999999998,331.6999153325162
physics,linear,2022-01-25 18:00:00,0.0,68.5468111838984
physics,linear,2022-01-25 19:00:00,0.0,44.30409376867351
physics,linear,2022-01-25 20:00:00,0.0,-53.214970894578755
physics,linear,2022-01-25 21:00:00,0.0,-91.21530683849255
physics,linear,2022-01-25 22:00:00,0.0,-49.10682014067129
physics,linear,2022-01-25 23:00:00,0.0,88.60911203099863
physics,linear,2022-01-26 00:00:00,0.0,117.97608739616908
physics,linear,2022-01-26 01:00:00,0.0,44.58058072158951
physics,linear,2022-01-26 02:00:00,0.0,142.65516367300256
physics,linear,2022-01-26 03:00:00,0.0,144.7103060347879
physics,linear,2022-01-26 04:00:00,0.0,91.98579604226757
physics,linear,2022-01-26 05:00:00,0.0,137.66027508276875
physics,linear,2022-01-26 06:00:00,0.0,184.03427359080342
physics,linear,2022-01-26 07:00:00,0.0,194.22017138632714
physics,linear,2022-01-26 08:00:00,0.0,234.26972313143574
physics,linear,2022-01-26 09:00:00,556.0,743.4182770594342
physics,linear,2022-01-26 10:00:00,1884.8,1489.280877910332
physics,linear,2022-01-26 11:00:00,2858.8,2033.7424490206217
physics,linear,2022-01-26 12:00:00,3320.4,2407.9891284827872
physics,linear,2022-01-26 13:00:00,3487.2,2523.9265943608802
physics,linear,2022-01-26 14:00:00,3252.4,2373.644362615238
physics,linear,2022-01-26 15:00:00,2737.2,1925.3217278723046
physics,linear,2022-01-26 16:00:00,1839.2,1322.6815171353965
physics,linear,2022-01-26 17:00:00,779.1999999999999,745.2564174602599
physics,linear,2022-01-26 18:00:00,72.8,434.6879507870101
physics,linear,2022-01-26 19:00:00,0.0,283.94757563433245
physics,linear,2022-01-26 20:00:00,0.0,127.98073244202396
physics,linear,2022-01-26 21:00:00,0.0,154.81838786698518
physics,linear,2022-01-26 22:00:00,0.0,80.58332028418499
physics,linear,2022-01-26 23:00:00,0.0,85.8761462855789
physics,linear,2022-01-27 00:00:00,0.0,214.12881515723655
physics,linear,2022-01-27 01:00:00,0.0,249.26031338264033
physics,linear,2022-01-27 02:00:00,0.0,249.21083080848064
physics,linear,2022-01-27 03:00:00,0.0,201.97314247022382
physics,linear,2022-01-27 04:00:00,0.0,194.82808101365436
physics,linear,2022-01-27 05:00:00,0.0,249.67470723412953
physics,linear,2022-01-27 06:00:00,0.0,206.58394029609394
physics,linear,2022-01-27 07:00:00,0.0,206.20327227616167
physics,linear,2022-01-27 08:00:00,0.0,313.98585558231923
physics,linear,2022-01-27 09:00:00,478.0,871.7353307718765
physics,linear,2022-01-27 10:00:00,1843.6,1616.4350803027419
physics,linear,2022-01-27 11:00:00,2614.4,2260.1468015238365
physics,linear,2022-01-27 12:00:00,3238.4,2707.6500491768984
physics,linear,2022-01-27 13:00:00,3271.6,2882.941252286465
physics,linear,2022-01-27 14:00:00,3267.2,2645.4853937716816
physics,linear,2022-01-27 15:00:00,2702.4,2261.63197893073
physics,linear,2022-01-27 16:00:00,2024.8,1661.5678947303222
physics,linear,2022-01-27 17:00:00,954.4,1133.6960429978212
physics,linear,2022-01-27 18:00:00,110.4,843.1433377224243
physics,linear,2022-01-27 19:00:00,0.0,696.0233028393748
physics,linear,2022-01-27 20:00:00,0.0,444.82169296436984
physics,linear,2022-01-27 21:00:00,0.0,313.9322355677152
physics,linear,2022-01-27 22:00:00,0.0,215.31726077678775
physics,linear,2022-01-27 23:00:00,0.0,181.79503167886764
physics,linear,2022-01-28 00:00:00,0.0,382.43785596395753
physics,linear,2022-01-28 01:00:00,0.0,319.3007755850783
physics,linear,2022-01-28 02:00:00,0.0,293.0607977366303
physics,linear,2022-01-28 03:00:00,0.0,345.7656504451719
physics,linear,2022-01-28 04:00:00,0.0,451.22483843641487
physics,linear,2022-01-28 05:00:00,0.0,363.8945232164707
physics,linear,2022-01-28 06:00:00,0.0,316.98802032398635
physics,linear,2022-01-28 07:00:00,0.0,290.27234395105575
physics,linear,2022-01-28 08:00:00,20.0,365.2385493455772
physics,linear,2022-01-28 09:00:00,686.8000000000001,866.1424421214056
physics,linear,2022-01-28 10:00:00,1731.2,1530.3452202099445
physics,linear,2022-01-28 11:00:00,2448.0,2402.6991467704947
physics,linear,2022-01-28 12:00:00,3645.2,2675.750722832628
physics,linear,2022-01-28 13:00:00,3701.6,2861.727822977811
physics,linear,2022-01-28 14:00:00,3474.4,2736.1365586739066
physics,linear,2022-01-28 15:00:00,2936.4,2312.6412956689155
physics,linear,2022-01-28 16:00:00,2354.4,1710.0294875711859
physics,linear,2022-01-28 17:00:00,1224.0,1107.5233842799446
physics,linear,2022-01-28 18:00:00,102.8,686.8613556879093
physics,linear,2022-01-28 19:00:00,0.0,533.1214404469326
physics,linear,2022-01-28 20:00:00,0.0,461.9373841366786
physics,linear,2022-01-28 21:00:00,0.0,367.46933074597257
physics,linear,2022-01-28 22:00:00,0.0,324.08953765051683
physics,linear,2022-01-28 23:00:00,0.0,313.85130563304915
physics,linear,2022-01-29 00:00:00,0.0,409.6433586062583
physics,linear,2022-01-29 01:00:00,0.0,425.49326807272087
physics,linear,2022-01-29 02:00:00,0.0,526.9545193804755
